X1,X2,X3,X4,X5
21,48.8,27,3,std
21,48.8,27,3,std
19,52.4,26,1,std
24,54.3,30,2,std
18,54.3,22,2,std
19,53.1,25,2,std
19,55.7,25,1,std
19,55.7,25,1,std
17,55.9,20,1,turbo
16,52.0,22,0,turbo
23,54.3,29,2,std
23,54.3,29,0,std
21,54.3,28,0,std
21,54.3,28,0,std
20,55.7,25,1,std
16,55.7,22,0,std
16,53.7,22,0,std
15,56.3,20,0,std
47,53.2,53,2,std
38,52.0,43,1,std
38,52.0,43,0,std
37,50.8,41,1,std
31,50.8,38,1,std
24,50.8,30,1,turbo
31,50.6,38,1,std
31,50.6,38,1,std
31,50.6,38,1,std
24,50.6,30,1,turbo
24,59.8,30,-1,std
19,50.2,24,3,turbo
49,50.8,54,2,std
31,50.8,38,2,std
38,52.6,42,1,std
30,52.6,34,1,std
30,52.6,34,1,std
30,54.5,34,0,std
30,58.3,34,0,std
27,53.3,33,0,std
27,53.3,33,0,std
27,54.1,33,0,std
27,54.1,33,0,std
24,54.1,28,0,std
25,51.0,31,1,std
24,53.5,29,0,std
38,52.0,43,1,std
38,52.0,43,0,std
24,51.4,29,2,std
15,52.8,19,0,std
15,52.8,19,0,std
13,47.8,17,0,std
30,54.1,31,1,std
31,54.1,38,1,std
31,54.1,38,1,std
31,54.1,38,1,std
31,54.1,38,1,std
17,49.6,23,3,std
17,49.6,23,3,std
17,49.6,23,3,std
16,49.6,23,3,std
26,53.7,32,1,std
26,55.5,32,0,std
26,53.7,32,1,std
26,55.5,32,0,std
36,55.5,42,0,std
26,55.5,32,0,std
19,54.4,27,0,std
31,54.4,39,0,std
22,56.5,25,-1,turbo
22,58.7,25,-1,turbo
22,54.9,25,0,turbo
22,56.3,25,-1,turbo
16,56.5,18,-1,std
16,50.8,18,3,std
14,56.7,16,0,std
14,55.4,16,1,std
19,54.8,24,1,turbo
37,50.8,41,2,std
31,50.8,38,2,std
31,50.8,38,2,std
24,50.8,30,1,turbo
23,49.4,30,3,turbo
25,49.4,32,3,std
19,50.2,24,3,turbo
19,50.2,24,3,turbo
19,50.2,24,3,turbo
25,51.6,32,1,std
25,51.6,32,1,std
23,51.6,30,1,turbo
23,51.6,30,-1,std
31,54.5,37,1,std
45,54.5,50,1,std
31,54.5,37,1,std
31,54.5,37,1,std
31,53.5,37,1,std
31,54.5,37,1,std
31,53.3,37,1,std
31,54.5,37,1,std
31,53.5,37,1,std
31,53.3,37,2,std
27,54.7,34,0,std
27,54.7,34,0,std
17,55.1,22,0,std
17,56.1,22,0,std
19,55.1,25,0,std
19,49.7,25,3,std
17,49.7,23,3,turbo
19,49.7,25,1,std
19,56.7,24,0,std
28,56.7,33,0,turbo
19,58.7,24,0,std
25,58.7,25,0,turbo
19,56.7,24,0,std
28,56.7,33,0,turbo
19,56.7,24,0,std
25,58.7,25,0,turbo
19,56.7,24,0,std
28,56.7,33,0,turbo
18,56.0,24,0,turbo
37,50.8,41,1,std
24,50.8,30,1,turbo
31,50.6,38,1,std
31,50.8,38,1,std
31,50.8,38,1,std
24,59.8,30,-1,std
19,50.2,24,3,turbo
19,50.2,27,3,std
17,51.6,25,3,std
17,51.6,25,3,std
17,51.6,25,3,std
17,50.5,28,1,std
23,55.2,31,0,std
23,50.5,31,2,std
21,56.1,28,3,std
21,56.1,28,2,std
21,56.1,28,3,std
21,56.1,28,2,std
19,56.1,26,3,turbo
19,56.1,26,2,turbo
31,53.7,36,2,std
26,53.7,31,2,std
26,55.7,31,2,std
32,52.5,37,0,std
28,52.5,33,0,std
26,52.5,32,0,std
24,54.3,25,0,std
24,54.3,29,0,turbo
28,53.0,32,0,std
25,53.0,31,0,std
23,54.9,29,0,std
23,54.9,23,0,turbo
35,54.5,39,1,std
31,54.5,38,1,std
31,54.5,38,1,std
31,59.1,37,0,std
27,59.1,32,0,std
27,59.1,32,0,std
30,53.0,37,0,std
30,52.8,37,0,std
34,53.0,36,0,std
38,52.8,47,0,std
38,53.0,47,0,std
28,52.8,34,0,std
28,52.8,34,0,std
29,52.6,34,1,std
29,52.6,34,1,std
26,52.6,29,1,std
26,52.6,29,1,std
24,52.0,30,2,std
24,52.0,30,2,std
24,52.0,30,2,std
24,52.0,30,2,std
24,52.0,30,2,std
24,53.0,30,2,std
29,54.9,34,-1,std
30,54.9,33,-1,turbo
27,53.9,32,-1,std
27,54.9,32,-1,std
27,53.9,32,-1,std
20,52.0,24,3,std
19,52.0,24,3,std
20,54.1,24,-1,std
19,54.1,24,-1,std
37,55.7,46,2,std
27,55.7,34,2,std
37,55.7,46,2,std
27,55.7,34,2,std
27,55.7,34,2,std
37,55.7,42,2,turbo
26,55.7,32,2,std
24,55.6,29,3,std
24,51.4,29,3,std
19,55.1,24,0,std
33,55.1,38,0,turbo
25,55.1,31,0,std
23,56.2,28,-2,std
23,57.5,28,-1,std
24,56.2,28,-2,std
24,57.5,28,-1,std
17,56.2,22,-2,turbo
17,57.5,22,-1,turbo
23,55.5,28,-1,std
19,55.5,25,-1,turbo
18,55.5,23,-1,std
26,55.5,27,-1,turbo
19,55.5,25,-1,turbo
